Altium Designer Pick and Place Locations
C:\Users\john lin\SVN\MB1381\Trunk\03-Manufacturing\MB1381B_PCB\Assembly\MB1381-B01_PickandPlace.txt

========================================================================================================================
File Design Information:

Date:       09/07/18
Time:       14:07
Revision:   Not in VersionControl
Variant:    H745XI
Units used: mm

Designator Comment                Layer       Footprint                                          Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                                                                            
SB48       SB_OFF                 BottomLayer SOLDER-BRIDGE_R0603-0R                             28.4422      71.5860      270      "Solder Bridge OFF"                                                                                                                                                                    
SB47       SB_OFF                 BottomLayer SOLDER-BRIDGE_R0603-0R                             39.9534      41.2496      360      "Solder Bridge OFF"                                                                                                                                                                    
SB45       SB_OFF                 TopLayer    SOLDER-BRIDGE_R0603-0R                             50.9524      78.8932      270      "Solder Bridge OFF"                                                                                                                                                                    
SB44       SB_ON                  TopLayer    SOLDER-BRIDGE_R0603-0R                             54.1360      51.3082      90       "Solder Bridge ON"                                                                                                                                                                     
C185       Capacitor              TopLayer    C0603                                              67.3862      57.2497      360      "Capacitor, MLCC, 10uF, 6V3, X5R, 20%, 0603, T=0,8mm"                                                                                                                                  
C52        Capacitor              TopLayer    C0402                                              60.1287      58.8518      270      "Capacitor, MLCC, 10uF, 4V, X5R, 20%, 0402, T=0,5mm"                                                                                                                                   
C177       Capacitor              TopLayer    C0603                                              97.7392      12.7762      270      "Capacitor, MLCC, 1uF, 16V, X5R, 10%, 0603, T=0,8mm"                                                                                                                                   
SB24       SB_OFF                 TopLayer    SOLDER-BRIDGE_R0603-0R                             12.9024      52.2986      360      "Solder Bridge OFF"                                                                                                                                                                    
U28        ESDA7P60-1U1M          TopLayer    ESD_QFN2_1P6X1_P125                                111.2012     7.1628       90       "High power transient voltage suppressor, 7V breakdown"                                                                                                                                
D9         BAT60JFILM             TopLayer    DIO_SOD323                                         89.9595      30.9372      90       BAT60JFILM                                                                                                                                                                             
CN15       USB_uB_105017.0001     TopLayer    CON_USBMICROB_MOLEX_105017-0001_H2P90              111.2878     3.7808       360      "USB-MICRO-B, 0.65mm, RA, SMT, Bottom Mount,"                                                                                                                                          
D7         SMAJ58A-TR             TopLayer    DIO_SMA_DO214-AC_1A_2K                             92.2528      50.9270      270      "High voltage power Schottky rectifier"                                                                                                                                                
C71        Capacitor              TopLayer    C0402                                              103.9520     55.2450      90       "Capacitor, MLCC, 100nF, 16V, X7R, 10%, 0402, T=0,5mm"                                                                                                                                 
C83        Capacitor              TopLayer    C0402                                              30.7558      49.2699      90       "Capacitor, MLCC, 100nF, 16V, X7R, 10%, 0402, T=0,5mm"                                                                                                                                 
R156       Resistor               TopLayer    R0402                                              30.1419      43.3779      270      Resistor,10K,0402,1%,1/16W                                                                                                                                                             
R159       Resistor               TopLayer    R0402                                              29.1511      43.3779      270      Resistor,10K,0402,1%,1/16W                                                                                                                                                             
R157       Resistor               TopLayer    R0402                                              31.1368      43.3779      270      Resistor,10K,0402,1%,1/16W                                                                                                                                                             
R132       Resistor               TopLayer    R0402                                              30.4340      45.6839      360      Resistor,10K,0402,1%,1/16W                                                                                                                                                             
R124       Resistor               TopLayer    R0402                                              30.4340      47.9699      360      Resistor,10K,0402,1%,1/16W                                                                                                                                                             
X1         Oscillator_4pins       TopLayer    OSC_NDK_NZ2520SB_4P                                64.2620      61.9760      180      "Oscillator 25.00Mhz, -+50PPM, 3.3V, Temp -55 to +125°„C"                                                                                                                               
X2         XTAL_32K_NX3215SA      TopLayer    CRY_NX3215SA_2P                                    65.0120      55.9308      270      "Crystal 32.768kHz, 6pF, -+20PPM, R=50K, SMD"                                                                                                                                          
X3         Oscillator_4pins       TopLayer    OSC_NDK_NZ2520SB_4P                                95.3130      20.6449      0        "Oscillator 25.00Mhz, -+50PPM, 3.3V, Temp -55 to +125°„C"                                                                                                                               
U24        STMPS2151STR           TopLayer    MOS_SOT23-5L                                       94.8334      13.2104      90       "500mA, Enhanced single channel power switches with active high enable pin"                                                                                                            
U18        ??                     TopLayer    REG_SOT223-TAB                                     35.3309      23.4440      360      "Adjustable and fixed low drop positive voltage regulator"                                                                                                                             
U20        ST1L05APU33R           TopLayer    ICC_DFN6-EPAD_3X3_P095                             86.3339      19.9459      270      "IC REG LDO 3.3V 1.3A 6DFN"                                                                                                                                                            
U17        LD1117S50TR            TopLayer    REG_SOT223-TAB                                     73.7286      24.6372      270      "IC REG LDO 5V 0.8A SOT223"                                                                                                                                                            
U32        ESD-TRANSIL            BottomLayer ESD_QFN2_1P6X1_P125                                37.7952      84.0684      180      "High power transient voltage suppressor, 7V breakdown"                                                                                                                                
U31        ESD-TRANSIL            BottomLayer ESD_QFN2_1P6X1_P125                                19.2532      84.3582      180      "High power transient voltage suppressor, 7V breakdown"                                                                                                                                
U6         ??                     TopLayer    ICC_TFBGA240+25_14X14_STM32H745H6U_P080            51.1930      61.1556      180      "32bit MCU TFBGA240+25"                                                                                                                                                                
U25        USBLC6-4SC6            TopLayer    ESD_SOT23-6L                                       67.8985      8.4580       90       "Very low capacitance ESD protection , 4 lines"                                                                                                                                        
U23        STMPS2151STR           TopLayer    MOS_SOT23-5L                                       75.6412      13.2334      270      "500mA, Enhanced single channel power switches with active high enable pin"                                                                                                            
U14        LD3985M33R             TopLayer    REG_SOT23-5L                                       88.3410      35.2550      270      "Ultra low drop-low noise BiCMOS voltage, regulators low ESR capacitors compatible"                                                                                                    
U12        ESDALC6V1W5            TopLayer    ESD_SOT323-5L                                      10.2685      37.7390      360      "Dual Transil array for ESD protection"                                                                                                                                                
U10        ESDALC6V1W5            TopLayer    ESD_SOT323-5L                                      10.2565      42.5190      360      "Dual Transil array for ESD protection"                                                                                                                                                
U16        ST-LINKV3E_SWD         TopLayer    ICC_UFBGA201_176+25_10X10_P065                     99.1163      28.0266      90       "STM32F723IEK ?(STM32F7) BGA176"                                                                                                                                                       
U26        ?                      TopLayer    ESD_QFN-6L_1P7X1P5_P050                            98.2218      8.9662       180      "Common mode filter with ESD protection for USB 2.0 interface"                                                                                                                         
U27        ESDA7P60-1U1M          TopLayer    ESD_QFN2_1P6X1_P125                                94.8436      7.7216       90       "High power transient voltage suppressor, 7V breakdown"                                                                                                                                
U7         "? ?"                  TopLayer    ICC_VFBGA90_8X13_P080                              24.7201      52.1625      180      "SDRAM 128MBIT (4M x 32) 166MHZ 90-VFBGA (8x13)"                                                                                                                                       
U1         "? ?"                  TopLayer    ICC_SOP2-SF_16P_10P3X7P5_P127                      24.1800      80.5099      90       "Micron Serial NOR Flash Memory"                                                                                                                                                       
U2         "? ?"                  TopLayer    ICC_SOP2-SF_16P_10P3X7P5_P127                      24.1679      69.5269      90       "Micron Serial NOR Flash Memory"                                                                                                                                                       
U5         TS431AILT              TopLayer    MOS_SOT23-5L                                       68.6529      68.6910      360      "Low voltage adjustable shunt reference"                                                                                                                                               
U4         "? ?"                  TopLayer    OPT_MINI-FLAT_FAIRCHILD_HMHA2801A                  78.8408      69.0618      90       "OPTOISOLATOR 3.7KV TRANSISTOR 4SMD"                                                                                                                                                   
U8         ??                     TopLayer    ICC_HTSSOP16-EPAD_5X4P4_P065                       86.4591      51.1960      360      "Integrated IEEE 802.3af compliant PoE-PD interface, and PWM controller with support of external source"                                                                               
U13        STLD40DPUR             TopLayer    ICC_QFN8-EPAD_3X3_P065                             74.9750      36.7330      90       "White LED power supply for large display backlight, QFN8"                                                                                                                             
U21        MCP2562FD              TopLayer    ICC_SO8_5X4_P127                                   44.1025      14.8082      180      "High-Speed CAN Flexible Data Rate Transceiver"                                                                                                                                        
U22        MCP2562FD              TopLayer    ICC_SO8_5X4_P127                                   53.1112      14.8082      180      "High-Speed CAN Flexible Data Rate Transceiver"                                                                                                                                        
U9         ??                     TopLayer    ICC_QFN32-EPAD_5X5_P050                            101.1448     49.4609      270      "Small Footprint MII/RMII 10/100 Energy Efficient Ethernet
Transceiver with HP Auto-MDIX and flexPWR? Technology"                                                                      
U19        ESDA6V1BC6             TopLayer    ESD_SOT23-6L                                       25.2222      20.5232      270      "Quad Bidir ESD protection"                                                                                                                                                            
U34        MP34DT01TR-M           BottomLayer MIC_HCLGA_3X4X1_4LD                                26.2987      4.3708       90       "MEMS audio sensor, omnidirectional digital microphone"                                                                                                                                
U15        WM8994ECS/R            TopLayer    ICC_W-CSP-BGA72_4P511X4P023_P050                   24.8839      32.3459      180      "Multi-Channel Audio Hub CODEC for Smartphones"                                                                                                                                        
T4         ??                     TopLayer    MOS_SOT223-TAB                                     89.0519      64.9526      360      "Annel 200 V, 1.1ohm, 1 A, low gate charge STripFET II, Power MOSFET"                                                                                                                  
T2         ??                     TopLayer    TRS_COILCRAFT_POE30P-50L                           72.6488      79.2549      180      "Flyback Transformers for 3 Watt, PoE applications, CoilCraft Cyntec"                                                                                                                  
T3         ??                     TopLayer    TRS_PULSE_H2019NL                                  100.0498     67.7901      0        "10/100BASE-TX VoIP Magnetics Modules, Data Transformer"                                                                                                                               
T5         BSN20                  TopLayer    MOS_SOT23                                          122.7480     46.9107      360      "N-channel enhancement mode field-effect transistor"                                                                                                                                   
SB23       SB_ON                  TopLayer    SOLDER-BRIDGE_R0603-0R                             61.4867      53.1851      180      "Solder Bridge ON"                                                                                                                                                                     
SB15       SB_ON                  TopLayer    SOLDER-BRIDGE_R0603-0R                             39.4443      57.9290      360      "Solder Bridge ON"                                                                                                                                                                     
SB27       SB_OFF                 TopLayer    SOLDER-BRIDGE_R0603-0R                             51.5404      51.3051      90       "Solder Bridge OFF"                                                                                                                                                                    
SB18       SB_ON                  TopLayer    SOLDER-BRIDGE_R0603-0R                             39.4463      56.5150      360      "Solder Bridge ON"                                                                                                                                                                     
SB5        SB_ON                  TopLayer    SOLDER-BRIDGE_R0603-0R                             51.6352      72.5915      270      "Solder Bridge ON"                                                                                                                                                                     
SB26       SB_OFF                 TopLayer    SOLDER-BRIDGE_R0603-0R                             52.8454      51.3249      90       "Solder Bridge OFF"                                                                                                                                                                    
SB17       SB_OFF                 TopLayer    SOLDER-BRIDGE_R0603-0R                             41.3989      55.9032      90       "Solder Bridge OFF"                                                                                                                                                                    
SB6        SB_OFF                 TopLayer    SOLDER-BRIDGE_R0603-0R                             53.0598      72.5684      270      "Solder Bridge OFF"                                                                                                                                                                    
SB1        SB_ON                  TopLayer    SOLDER-BRIDGE_R0603-0R                             52.9721      79.0512      90       "Solder Bridge ON"                                                                                                                                                                     
SB3        SB_OFF                 TopLayer    SOLDER-BRIDGE_R0603-0R                             55.6179      74.8115      270      "Solder Bridge OFF"                                                                                                                                                                    
SB4        SB_OFF                 TopLayer    SOLDER-BRIDGE_R0603-0R                             57.4517      74.8013      270      "Solder Bridge OFF"                                                                                                                                                                    
SB9        SB_OFF                 TopLayer    SOLDER-BRIDGE_R0603-0R                             12.7776      64.9420      180      "Solder Bridge OFF"                                                                                                                                                                    
SB10       SB_ON                  TopLayer    SOLDER-BRIDGE_R0603-0R                             12.7776      63.4180      180      "Solder Bridge ON"                                                                                                                                                                     
SB12       SB_OFF                 TopLayer    SOLDER-BRIDGE_R0603-0R                             12.7776      60.3700      180      "Solder Bridge OFF"                                                                                                                                                                    
SB11       SB_ON                  TopLayer    SOLDER-BRIDGE_R0603-0R                             12.7776      61.8940      180      "Solder Bridge ON"                                                                                                                                                                     
SB16       SB_OFF                 TopLayer    SOLDER-BRIDGE_R0603-0R                             12.7776      57.3220      180      "Solder Bridge OFF"                                                                                                                                                                    
SB13       SB_ON                  TopLayer    SOLDER-BRIDGE_R0603-0R                             12.7776      58.8460      180      "Solder Bridge ON"                                                                                                                                                                     
SB19       SB_OFF                 TopLayer    SOLDER-BRIDGE_R0603-0R                             12.7770      55.7784      180      "Solder Bridge OFF"                                                                                                                                                                    
SB21       SB_ON                  TopLayer    SOLDER-BRIDGE_R0603-0R                             12.8024      54.2036      180      "Solder Bridge ON"                                                                                                                                                                     
SB7        SB_ON                  TopLayer    SOLDER-BRIDGE_R0603-0R                             31.1150      71.9590      270      "Solder Bridge ON"                                                                                                                                                                     
SB8        SB_OFF                 TopLayer    SOLDER-BRIDGE_R0603-0R                             16.8358      65.0717      360      "Solder Bridge OFF"                                                                                                                                                                    
SB2        SB_ON                  TopLayer    SOLDER-BRIDGE_R0603-0R                             16.7646      76.1919      180      "Solder Bridge ON"                                                                                                                                                                     
SB30       SB_ON                  TopLayer    SOLDER-BRIDGE_R0603-0R                             80.0576      27.5050      90       "Solder Bridge ON"                                                                                                                                                                     
SB31       SB_OFF                 TopLayer    SOLDER-BRIDGE_R0603-0R                             81.9364      27.5050      90       "Solder Bridge OFF"                                                                                                                                                                    
